agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL01302,2.0,murder,False,7,False
AL01303,2.0,murder,False,7,False
AL01400,14.0,murder,False,9B,False
AL01401,7.0,murder,False,6,False
AL01402,1.0,murder,False,7,False
AL01403,2.0,murder,False,6,False
AL01404,2.0,murder,False,7,False
AL01500,10.0,murder,False,8C,False
AL01501,1.0,murder,False,7,False
AL01502,0.0,murder,False,7,False
AL01503,0.0,murder,False,7,False
AL01504,0.0,murder,False,7,False
AL01505,0.0,murder,False,7,False
AL01600,11.0,murder,False,8C,False
AL01601,10.0,murder,False,6,False
AL01602,5.0,murder,False,6,False
AL01603,1.0,murder,False,7,False
AL01604,0.0,murder,False,7,False
AL01606,0.0,murder,False,7,False
AL01700,2.0,murder,False,8D,False
AL01701,1.0,murder,False,7,False
AL01702,2.0,murder,False,7,False
AL01800,8.0,murder,False,8C,False
AL01801,3.0,murder,False,6,False
AL01802,0.0,murder,False,7,False
AL01900,4.0,murder,False,8C,False
AL01901,5.0,murder,False,6,False
AL01902,21.0,murder,False,4,False
AL01903,1.0,murder,False,7,False
AL01904,0.0,murder,False,7,False
AL01905,0.0,murder,False,7,False
AL02000,17.0,murder,False,9C,False
AL02001,12.0,murder,False,6,False
AL02002,6.0,murder,False,6,False
AL02003,3.0,murder,False,5,False
AL02004,1.0,murder,False,7,False
AL02005,0.0,murder,False,7,False
AL02006,0.0,murder,False,7,False
AL02008,0.0,murder,False,7,False
AL02100,5.0,murder,False,8D,False
AL02101,4.0,murder,False,6,False
AL02102,0.0,murder,False,7,False
AL02103,0.0,murder,False,7,False
AL02200,13.0,murder,False,8D,False
AL02201,4.0,murder,False,7,False
AL02202,2.0,murder,False,7,False
AL02300,6.0,murder,False,8C,False
AL02301,14.0,murder,False,6,False
AL02302,7.0,murder,False,6,False
AL02303,2.0,murder,False,7,False
AL02304,0.0,murder,False,7,False
AL02305,1.0,murder,False,7,False
AL02306,0.0,murder,False,7,False
AL02307,0.0,murder,False,7,False
AL02308,0.0,murder,False,7,False
AL02400,14.0,murder,False,8D,False
AL02401,3.0,murder,False,6,False
AL02402,2.0,murder,False,7,False
AL02403,0.0,murder,False,7,False
AL02404,0.0,murder,False,7,False
AL02500,22.0,murder,False,8B,False
AL02501,6.0,murder,False,5,False
AL02502,1.0,murder,False,6,False
AL02503,0.0,murder,False,7,False
AL02504,0.0,murder,False,7,False
AL02505,0.0,murder,False,7,False
AL02600,9.0,murder,False,8C,False
AL02601,21.0,murder,False,5,False
AL02602,7.0,murder,False,6,False
AL02603,0.0,murder,False,7,False
AL02604,0.0,murder,False,7,False
AL02605,1.0,murder,False,7,False
AL02606,2.0,murder,False,7,False
AL02607,0.0,murder,False,7,False
AL02608,0.0,murder,False,7,False
AL02609,0.0,murder,False,7,False
AL02700,11.0,murder,False,8C,False
AL02701,33.0,murder,False,5,False
AL02702,0.0,murder,False,7,False
AL02800,13.0,murder,False,8B,False
AL02801,10.0,murder,False,5,False
AL02802,1.0,murder,False,7,False
AL02803,0.0,murder,False,7,False
AL02804,0.0,murder,False,7,False
AL02805,0.0,murder,False,7,False
AL02806,0.0,murder,False,7,False
AL02807,0.0,murder,False,6,False
AL02808,0.0,murder,False,7,False
AL02810,0.0,murder,False,7,False
AL02811,0.0,murder,False,7,False
AL02812,0.0,murder,False,7,False
AL02813,0.0,murder,False,7,False
AL02814,0.0,murder,False,7,False
AL02900,26.0,murder,False,9B,False
AL02901,6.0,murder,False,6,False
AL02902,8.0,murder,False,6,False
AL02903,3.0,murder,False,7,False
AL02904,1.0,murder,False,7,False
AL02906,6.0,murder,False,5,False
AL02907,0.0,murder,False,7,False
AL03000,8.0,murder,False,8C,False
AL03001,13.0,murder,False,5,False
AL03002,6.0,murder,False,6,False
AL03003,2.0,murder,False,7,False
AL03004,4.0,murder,False,7,False
AL03100,19.0,murder,False,9B,False
AL03101,9.0,murder,False,6,False
AL03102,26.0,murder,False,4,False
AL03104,2.0,murder,False,6,False
AL03105,2.0,murder,False,6,False
AL03106,0.0,murder,False,6,False
AL03107,2.0,murder,False,6,False
AL03108,1.0,murder,False,7,False
AL03109,0.0,murder,False,7,False
AL03110,0.0,murder,False,7,False
AL03122,0.0,murder,False,9D,False
AL03200,7.0,murder,False,8C,False
AL03201,4.0,murder,False,6,False
AL03202,1.0,murder,False,7,False
AL03300,10.0,murder,False,8C,False
AL03301,8.0,murder,False,6,False
AL03302,0.0,murder,False,7,False
AL03303,1.0,murder,False,6,False
AL03304,0.0,murder,False,7,False
AL03305,0.0,murder,False,7,False
