year_latest,agency_ori_9,agency_ori_7,ori_group,larger_city
2016,AK0010100,AK00101,1C,True
2016,AK0010200,AK00102,4,False
2016,AK0010300,AK00103,4,False
2016,AK0010400,AK00104,6,False
2016,AK0010500,AK00105,6,False
2016,AK0010600,AK00106,6,False
2016,AK0010700,AK00107,6,False
2016,AK0010800,AK00108,6,False
2016,AK0010900,AK00109,6,False
2016,AK0011000,AK00110,7,False
2016,AK0011100,AK00111,7,False
2016,AK0011200,AK00112,6,False
2016,AK0011300,AK00113,6,False
2016,AK0011400,AK00114,7,False
2016,AK0011600,AK00116,6,False
2016,AK0011700,AK00117,6,False
2016,AK0011800,AK00118,6,False
2016,AK0011900,AK00119,7,False
2016,AK0012000,AK00120,6,False
2016,AK0012100,AK00121,6,False
2016,AK0012200,AK00122,6,False
2016,AK0012300,AK00123,6,False
2016,AK0012400,AK00124,7,False
2016,AK0012500,AK00125,7,False
2016,AK0012600,AK00126,7,False
2016,AK0012700,AK00127,7,False
2016,AK0012800,AK00128,7,False
2016,AK0013000,AK00130,7,False
2016,AK0013100,AK00131,7,False
2016,AK0013200,AK00132,7,False
2016,AK0013300,AK00133,6,False
2016,AK0013500,AK00135,7,False
2016,AK0014200,AK00142,7,False
2016,AK0014300,AK00143,7,False
2016,AK0014500,AK00145,7,False
2016,AK0014600,AK00146,7,False
2016,AK0014700,AK00147,7,False
2016,AK0014900,AK00149,7,False
2016,AK0015000,AK00150,7,False
2016,AK0015200,AK00152,7,False
2016,AK0015400,AK00154,7,False
2016,AK0015600,AK00156,6,False
2016,AK0016300,AK00163,7,False
2016,AK0016400,AK00164,7,False
2016,AK0016600,AK00166,7,False
2016,AK0200400,AK02004,7,False
2016,AKASP0000,AKASP00,8D,False
2016,AKAST0100,,8A,False
2016,AL0010000,AL00100,9A,False
2016,AL0010100,AL00101,4,False
2016,AL0010200,AL00102,2,True
2016,AL0010300,AL00103,5,False
2016,AL0010400,AL00104,5,False
2016,AL0010500,AL00105,5,False
2016,AL0010600,AL00106,5,False
2016,AL0010700,AL00107,6,False
2016,AL0010800,AL00108,6,False
2016,AL0010900,AL00109,4,False
2016,AL0011000,AL00110,4,False
2016,AL0011100,AL00111,6,False
2016,AL0011200,AL00112,3,False
2016,AL0011300,AL00113,5,False
2016,AL0011400,AL00114,5,False
2016,AL0011500,AL00115,7,False
2016,AL0011600,AL00116,7,False
2016,AL0011700,AL00117,7,False
2016,AL0011800,AL00118,6,False
2016,AL0011900,AL00119,5,False
2016,AL0012000,AL00120,7,False
2016,AL0012100,AL00121,5,False
2016,AL0012200,AL00122,6,False
2016,AL0012300,AL00123,6,False
2016,AL0012400,AL00124,7,False
2016,AL0012500,AL00125,7,False
2016,AL0012600,AL00126,7,False
2016,AL0012700,AL00127,7,False
2016,AL0012800,AL00128,7,False
2016,AL0012900,AL00129,6,False
2016,AL0013000,AL00130,7,False
2016,AL0013200,,7,False
2016,AL0013400,AL00134,7,False
2016,AL0013500,AL00135,7,False
2016,AL0014000,,7,False
2016,AL0014100,AL00141,7,False
2016,AL0014500,AL00145,7,False
2016,AL0020000,AL00200,9A,False
2016,AL0020100,AL00201,2,True
2016,AL0020200,AL00202,5,False
2016,AL0020300,AL00203,6,False
2016,AL0020400,AL00204,6,False
2016,AL0020500,AL00205,5,False
2016,AL0020600,AL00206,6,False
2016,AL0020700,AL00207,6,False
2016,AL0020800,AL00208,7,False
2016,AL0020900,AL00209,7,False
2016,AL0021200,AL00212,7,False
2016,AL0021300,,7,False
2016,AL0021400,AL00214,7,False
2016,AL0021500,AL00215,7,False
2016,AL0021700,AL00217,7,False
2016,AL0030000,AL00300,9B,False
2016,AL0030100,AL00301,2,True
2016,AL0030300,AL00303,9E,False
2016,AL0030400,AL00304,9D,False
2016,AL0030500,AL00305,9D,False
2016,AL0030600,AL00306,7,False
2016,AL0030700,AL00307,7,False
2016,AL0030800,AL00308,9D,False
2016,AL0031000,AL00310,9E,False
2016,AL0031300,AL00313,9D,False
2016,AL0031400,AL00314,9E,False
2016,AL0031900,AL00319,7,False
2016,AL0032000,AL00320,9E,False
2016,AL0032200,AL00322,7,False
2016,AL003FA00,AL003FA,7,False
2016,AL0040000,AL00400,9C,False
2016,AL0040100,AL00401,4,False
2016,AL0040200,AL00402,7,False
2016,AL0050000,AL00500,9B,False
2016,AL0050100,AL00501,6,False
2016,AL0050200,AL00502,5,False
2016,AL0050300,AL00503,5,False
2016,AL0050400,AL00504,5,False
2016,AL0050500,AL00505,6,False
2016,AL0050600,AL00506,7,False
2016,AL0050700,AL00507,7,False
2016,AL0050800,AL00508,4,False
2016,AL0050900,AL00509,7,False
2016,AL0051000,AL00510,7,False
2016,AL0051100,AL00511,7,False
2016,AL0051200,AL00512,6,False
2016,AL0051300,AL00513,6,False
2016,AL0060000,AL00600,8D,False
2016,AL0060100,AL00601,5,False
2016,AL0060200,AL00602,6,False
2016,AL0060300,AL00603,7,False
2016,AL0060400,AL00604,7,False
2016,AL0060700,AL00607,7,False
2016,AL0070000,AL00700,9C,False
2016,AL0070100,AL00701,6,False
2016,AL0070200,AL00702,6,False
2016,AL0070300,AL00703,7,False
2016,AL0070400,AL00704,7,False
2016,AL0080000,AL00800,9B,False
2016,AL0080100,AL00801,6,False
2016,AL0080200,AL00802,7,False
2016,AL0080300,AL00803,7,False
2016,AL0080400,AL00804,7,False
2016,AL0080500,AL00805,7,False
2016,AL0090000,AL00900,8D,False
2016,AL0090100,AL00901,6,False
2016,AL0100000,AL01000,8C,False
2016,AL0100100,AL01001,6,False
2016,AL0100200,AL01002,7,False
2016,AL0100300,AL01003,7,False
2016,AL0110000,AL01100,9B,False
2016,AL0110100,AL01101,5,False
2016,AL0110200,AL01102,5,False
2016,AL0110300,AL01103,6,False
2016,AL0110400,AL01104,6,False
2016,AL0110500,AL01105,5,False
2016,AL0110600,AL01106,7,False
2016,AL0110700,AL01107,7,False
2016,AL0110800,AL01108,7,False
2016,AL0120000,AL01200,8C,False
2016,AL0120100,AL01201,6,False
2016,AL0120200,AL01202,6,False
2016,AL0120400,AL01204,6,False
2016,AL0130000,AL01300,8C,False
2016,AL0130100,AL01301,6,False
2016,AL0130200,AL01302,7,False
2016,AL0130300,AL01303,7,False
2016,AL0140000,AL01400,9B,False
2016,AL0140100,AL01401,6,False
2016,AL0140200,AL01402,7,False
2016,AL0140300,AL01403,6,False
2016,AL0140400,AL01404,7,False
2016,AL0150000,AL01500,8C,False
2016,AL0150100,AL01501,7,False
2016,AL0150200,AL01502,7,False
2016,AL0150300,AL01503,7,False
2016,AL0150400,AL01504,7,False
2016,AL0150500,AL01505,7,False
2016,AL0160000,AL01600,8C,False
2016,AL0160100,AL01601,6,False
2016,AL0160200,AL01602,6,False
2016,AL0160300,AL01603,7,False
2016,AL0160400,AL01604,7,False
2016,AL0160600,AL01606,7,False
2016,AL0170000,AL01700,8D,False
2016,AL0170100,AL01701,7,False
2016,AL0170200,AL01702,7,False
2016,AL0180000,AL01800,8C,False
2016,AL0180100,AL01801,6,False
2016,AL0180200,AL01802,7,False
2016,AL0190000,AL01900,8C,False
2016,AL0190100,AL01901,6,False
2016,AL0190200,AL01902,4,False
2016,AL0190300,AL01903,7,False
2016,AL0190400,AL01904,7,False
2016,AL0190500,AL01905,7,False
2016,AL0200000,AL02000,9C,False
2016,AL0200100,AL02001,6,False
2016,AL0200200,AL02002,6,False
2016,AL0200300,AL02003,5,False
2016,AL0200400,AL02004,7,False
2016,AL0200500,AL02005,7,False
2016,AL0200600,AL02006,7,False
2016,AL0200800,AL02008,7,False
2016,AL0210000,AL02100,8D,False
2016,AL0210100,AL02101,6,False
2016,AL0210200,AL02102,7,False
2016,AL0210300,AL02103,7,False
2016,AL0220000,AL02200,8D,False
2016,AL0220100,AL02201,7,False
2016,AL0220200,AL02202,7,False
2016,AL0230000,AL02300,8C,False
2016,AL0230100,AL02301,6,False
2016,AL0230200,AL02302,6,False
2016,AL0230300,AL02303,7,False
2016,AL0230400,AL02304,7,False
2016,AL0230500,AL02305,7,False
2016,AL0230600,AL02306,7,False
2016,AL0230700,AL02307,7,False
2016,AL0230800,AL02308,7,False
2016,AL0240000,AL02400,8D,False
2016,AL0240100,AL02401,6,False
2016,AL0240200,AL02402,7,False
2016,AL0240300,AL02403,7,False
2016,AL0240400,AL02404,7,False
2016,AL0250000,AL02500,8B,False
2016,AL0250100,AL02501,5,False
2016,AL0250200,AL02502,6,False
2016,AL0250300,AL02503,7,False
2016,AL0250400,AL02504,7,False
2016,AL0250500,,7,False
2016,AL0260000,AL02600,8C,False
2016,AL0260100,AL02601,5,False
2016,AL0260200,AL02602,6,False
2016,AL0260300,AL02603,7,False
2016,AL0260400,AL02604,7,False
2016,AL0260500,AL02605,7,False
2016,AL0260600,AL02606,7,False
2016,AL0260700,AL02607,7,False
2016,AL0260800,AL02608,7,False
2016,AL0260900,AL02609,7,False
2016,AL0270000,AL02700,8C,False
2016,AL0270100,AL02701,5,False
2016,AL0270200,AL02702,7,False
2016,AL0280000,AL02800,8B,False
2016,AL0280100,AL02801,5,False
2016,AL0280200,AL02802,7,False
2016,AL0280300,AL02803,7,False
2016,AL0280400,AL02804,7,False
2016,AL0280500,AL02805,7,False
2016,AL0280600,AL02806,7,False
2016,AL0280700,AL02807,6,False
2016,AL0280800,AL02808,7,False
2016,AL0281000,AL02810,7,False
2016,AL0281100,AL02811,7,False
2016,AL0281200,AL02812,7,False
2016,AL0281300,AL02813,7,False
2016,AL0281400,AL02814,7,False
2016,AL0290000,AL02900,9B,False
2016,AL0290100,AL02901,6,False
2016,AL0290200,AL02902,6,False
2016,AL0290300,AL02903,7,False
2016,AL0290400,AL02904,7,False
2016,AL0290600,AL02906,5,False
2016,AL0290700,,7,False
2016,AL0300000,AL03000,8C,False
2016,AL0300100,AL03001,5,False
2016,AL0300200,AL03002,6,False
2016,AL0300300,AL03003,7,False
2016,AL0300400,AL03004,7,False
2016,AL0310000,AL03100,9B,False
2016,AL0310100,AL03101,6,False
2016,AL0310200,AL03102,4,False
2016,AL0310400,AL03104,6,False
2016,AL0310500,AL03105,6,False
