agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL00802,5.0,assault_gun,False,7,False
AL00803,0.0,assault_gun,False,7,False
AL00804,0.0,assault_gun,False,7,False
AL00805,0.0,assault_gun,False,7,False
AL00900,0.0,assault_gun,False,8D,False
AL00901,8.0,assault_gun,False,6,False
AL01000,17.0,assault_gun,False,8C,False
AL01001,30.0,assault_gun,False,6,False
AL01002,5.0,assault_gun,False,7,False
AL01003,0.0,assault_gun,False,7,False
AL01100,21.0,assault_gun,False,9B,False
AL01101,36.0,assault_gun,True,5,False
AL01102,27.0,assault_gun,False,5,False
AL01103,18.0,assault_gun,False,6,False
AL01104,20.0,assault_gun,False,6,False
AL01105,28.0,assault_gun,False,5,False
AL01106,1.0,assault_gun,False,7,False
AL01107,1.0,assault_gun,False,7,False
AL01108,2.0,assault_gun,False,7,False
AL01200,24.0,assault_gun,False,8C,False
AL01201,26.0,assault_gun,False,6,False
AL01202,29.0,assault_gun,False,6,False
AL01204,24.0,assault_gun,False,6,False
AL01300,9.0,assault_gun,False,8C,False
AL01301,11.0,assault_gun,False,6,False
AL01302,0.0,assault_gun,False,7,False
AL01303,0.0,assault_gun,False,7,False
AL01400,21.0,assault_gun,False,9B,False
AL01401,31.0,assault_gun,False,6,False
AL01402,0.0,assault_gun,False,7,False
AL01403,5.0,assault_gun,False,6,False
AL01404,0.0,assault_gun,False,7,False
AL01500,12.0,assault_gun,False,8C,False
AL01501,4.0,assault_gun,False,7,False
AL01502,0.0,assault_gun,False,7,False
AL01503,0.0,assault_gun,False,7,False
AL01504,0.0,assault_gun,False,7,False
AL01505,0.0,assault_gun,False,7,False
AL01600,18.0,assault_gun,False,8C,False
AL01601,23.0,assault_gun,False,6,False
AL01602,15.0,assault_gun,False,6,False
AL01603,6.0,assault_gun,False,7,False
AL01604,0.0,assault_gun,False,7,False
AL01606,1.0,assault_gun,False,7,False
AL01700,16.0,assault_gun,False,8D,False
AL01701,2.0,assault_gun,False,7,False
AL01702,13.0,assault_gun,False,7,False
AL01800,12.0,assault_gun,False,8C,False
AL01801,9.0,assault_gun,False,6,False
AL01802,1.0,assault_gun,False,7,False
AL01900,27.0,assault_gun,False,8C,False
AL01901,20.0,assault_gun,False,6,False
AL01902,31.0,assault_gun,False,4,False
AL01903,2.0,assault_gun,False,7,False
AL01904,1.0,assault_gun,False,7,False
AL01905,0.0,assault_gun,False,7,False
AL02000,20.0,assault_gun,False,9C,False
AL02001,26.0,assault_gun,False,6,False
AL02002,15.0,assault_gun,False,6,False
AL02003,12.0,assault_gun,False,5,False
AL02004,3.0,assault_gun,False,7,False
AL02005,2.0,assault_gun,False,7,False
AL02006,5.0,assault_gun,False,7,False
AL02008,0.0,assault_gun,False,7,False
AL02100,9.0,assault_gun,False,8D,False
AL02101,17.0,assault_gun,False,6,False
AL02102,0.0,assault_gun,False,7,False
AL02103,0.0,assault_gun,False,7,False
AL02200,22.0,assault_gun,False,8D,False
AL02201,11.0,assault_gun,False,7,False
AL02202,2.0,assault_gun,False,7,False
AL02300,13.0,assault_gun,False,8C,False
AL02301,27.0,assault_gun,False,6,False
AL02302,23.0,assault_gun,False,6,False
AL02303,3.0,assault_gun,False,7,False
AL02304,1.0,assault_gun,False,7,False
AL02305,1.0,assault_gun,False,7,False
AL02306,0.0,assault_gun,False,7,False
AL02307,0.0,assault_gun,False,7,False
AL02308,2.0,assault_gun,False,7,False
AL02400,20.0,assault_gun,False,8D,False
AL02401,4.0,assault_gun,False,6,False
AL02402,2.0,assault_gun,False,7,False
AL02403,0.0,assault_gun,False,7,False
AL02404,0.0,assault_gun,False,7,False
AL02500,33.0,assault_gun,False,8B,False
AL02501,19.0,assault_gun,False,5,False
AL02502,5.0,assault_gun,False,6,False
AL02503,0.0,assault_gun,False,7,False
AL02504,0.0,assault_gun,False,7,False
AL02505,0.0,assault_gun,False,7,False
AL02600,17.0,assault_gun,False,8C,False
AL02601,32.0,assault_gun,False,5,False
AL02602,15.0,assault_gun,False,6,False
AL02603,5.0,assault_gun,False,7,False
AL02604,4.0,assault_gun,False,7,False
AL02605,4.0,assault_gun,False,7,False
AL02606,12.0,assault_gun,False,7,False
AL02607,2.0,assault_gun,False,7,False
AL02608,2.0,assault_gun,False,7,False
AL02609,1.0,assault_gun,False,7,False
AL02700,16.0,assault_gun,False,8C,False
AL02701,33.0,assault_gun,False,5,False
AL02702,0.0,assault_gun,False,7,False
AL02800,18.0,assault_gun,False,8B,False
AL02801,16.0,assault_gun,False,5,False
AL02802,1.0,assault_gun,False,7,False
AL02803,0.0,assault_gun,False,7,False
AL02804,0.0,assault_gun,False,7,False
AL02805,1.0,assault_gun,False,7,False
AL02806,0.0,assault_gun,False,7,False
AL02807,6.0,assault_gun,False,6,False
AL02808,0.0,assault_gun,False,7,False
AL02810,0.0,assault_gun,False,7,False
AL02811,0.0,assault_gun,False,7,False
AL02812,0.0,assault_gun,False,7,False
AL02813,1.0,assault_gun,False,7,False
AL02814,2.0,assault_gun,False,7,False
AL02900,28.0,assault_gun,False,9B,False
AL02901,24.0,assault_gun,False,6,False
AL02902,21.0,assault_gun,False,6,False
AL02903,12.0,assault_gun,False,7,False
AL02904,3.0,assault_gun,False,7,False
AL02906,15.0,assault_gun,False,5,False
AL02907,1.0,assault_gun,False,7,False
AL03000,9.0,assault_gun,False,8C,False
AL03001,32.0,assault_gun,False,5,False
AL03002,13.0,assault_gun,False,6,False
AL03003,6.0,assault_gun,False,7,False
AL03004,5.0,assault_gun,False,7,False
AL03100,25.0,assault_gun,False,9B,False
AL03101,20.0,assault_gun,False,6,False
AL03102,28.0,assault_gun,False,4,False
AL03104,5.0,assault_gun,False,6,False
AL03105,10.0,assault_gun,False,6,False
AL03106,4.0,assault_gun,False,6,False
AL03107,14.0,assault_gun,False,6,False
AL03108,2.0,assault_gun,False,7,False
AL03109,0.0,assault_gun,False,7,False
AL03110,0.0,assault_gun,False,7,False
AL03122,0.0,assault_gun,False,9D,False
AL03200,9.0,assault_gun,False,8C,False
AL03201,16.0,assault_gun,False,6,False
AL03202,0.0,assault_gun,False,7,False
AL03300,17.0,assault_gun,False,8C,False
AL03301,17.0,assault_gun,False,6,False
AL03302,2.0,assault_gun,False,7,False
AL03303,1.0,assault_gun,False,6,False
AL03304,0.0,assault_gun,False,7,False
AL03305,1.0,assault_gun,False,7,False
AL03400,22.0,assault_gun,False,9C,False
AL03401,21.0,assault_gun,False,6,False
AL03402,15.0,assault_gun,False,7,False
AL03403,9.0,assault_gun,False,6,False
AL03404,4.0,assault_gun,False,7,False
AL03405,0.0,assault_gun,False,7,False
AL03500,26.0,assault_gun,False,8D,False
AL03501,19.0,assault_gun,False,6,False
AL03502,0.0,assault_gun,False,7,False
AL03600,16.0,assault_gun,False,9C,False
AL03601,10.0,assault_gun,False,7,False
AL03602,10.0,assault_gun,False,7,False
AL03700,21.0,assault_gun,False,9D,False
AL03701,16.0,assault_gun,False,6,False
AL03702,9.0,assault_gun,False,6,False
AL03703,0.0,assault_gun,False,7,False
AL03800,29.0,assault_gun,False,9B,False
AL03801,33.0,assault_gun,False,3,False
AL03802,8.0,assault_gun,False,7,False
AL03803,0.0,assault_gun,False,7,False
AL03804,0.0,assault_gun,False,7,False
AL03805,0.0,assault_gun,False,7,False
AL03806,0.0,assault_gun,False,7,False
AL03808,0.0,assault_gun,False,7,False
AL03809,0.0,assault_gun,False,7,False
AL03810,0.0,assault_gun,False,7,False
AL03900,24.0,assault_gun,False,8B,False
AL03901,27.0,assault_gun,False,5,False
AL03902,5.0,assault_gun,False,7,False
AL03903,7.0,assault_gun,False,7,False
AL03904,3.0,assault_gun,False,7,False
AL03905,0.0,assault_gun,False,7,False
AL03906,0.0,assault_gun,False,7,False
AL03907,0.0,assault_gun,False,7,False
AL03908,0.0,assault_gun,False,7,False
AL03909,0.0,assault_gun,False,7,False
AL04000,3.0,assault_gun,False,8D,False
AL04001,3.0,assault_gun,False,7,False
AL04002,0.0,assault_gun,False,7,False
AL04003,0.0,assault_gun,False,7,False
AL04004,0.0,assault_gun,False,7,False
AL04100,21.0,assault_gun,False,9B,False
AL04101,31.0,assault_gun,False,4,False
AL04102,0.0,assault_gun,False,7,False
AL04103,0.0,assault_gun,False,7,False
AL04104,0.0,assault_gun,False,7,False
AL04105,0.0,assault_gun,False,7,False
AL04106,0.0,assault_gun,False,7,False
AL04107,4.0,assault_gun,False,7,False
AL04108,0.0,assault_gun,False,7,False
AL04200,24.0,assault_gun,False,9B,False
AL04201,3.0,assault_gun,False,6,False
AL04202,1.0,assault_gun,False,7,False
AL04203,2.0,assault_gun,False,7,False
AL04204,1.0,assault_gun,False,7,False
AL04205,0.0,assault_gun,False,7,False
AL04206,0.0,assault_gun,False,9E,False
AL04300,28.0,assault_gun,False,9B,False
AL04301,33.0,assault_gun,False,3,False
AL04302,28.0,assault_gun,False,4,False
AL04303,4.0,assault_gun,False,7,False
AL04400,25.0,assault_gun,False,9B,False
AL04401,23.0,assault_gun,False,4,False
AL04402,2.0,assault_gun,False,7,False
