,# Agencies,# Incidents,% Incidents,Arrest Rate
major,98,54289,0.22277162717790053,0.22459430087126306
minor,98,39596,0.16247979056044776,0.264067077482574
none,98,149813,0.6147485822616517,0.24443139113428072
