firearm_ind,agency_ori_7,decade,Black/Hispanic,White,diff
0,AR06002,1980,0.8656716417910447,0.7931034482758621,-0.073
0,AR06002,1990,0.7936507936507936,0.5862068965517241,-0.207
0,AR06002,2000,0.6842105263157895,0.7857142857142857,0.102
0,AR06002,2010,0.9090909090909091,0.8076923076923077,-0.101
0,AZ00723,1980,0.56,0.5573770491803278,-0.003
0,AZ00723,1990,0.5421686746987951,0.599009900990099,0.057
0,AZ00723,2000,0.5159817351598174,0.5842696629213483,0.068
0,AZ00723,2010,0.6666666666666666,0.7164179104477612,0.05
0,AZ01003,1980,0.6274509803921569,0.6867469879518072,0.059
0,AZ01003,1990,0.8478260869565217,0.6666666666666666,-0.181
0,AZ01003,2000,0.6901408450704225,0.7580645161290323,0.068
0,AZ01003,2010,0.6078431372549019,0.7627118644067796,0.155
0,CA00109,1980,0.6892857142857143,0.5882352941176471,-0.101
0,CA00109,1990,0.5927601809954751,0.6176470588235294,0.025
0,CA00109,2000,0.6532258064516129,0.6551724137931034,0.002
0,CA00109,2010,0.76,0.8125,0.052
0,CA01005,1980,0.6732673267326733,0.5945945945945946,-0.079
0,CA01005,1990,0.6557377049180327,0.5892857142857143,-0.066
0,CA01005,2000,0.7439024390243902,0.6956521739130435,-0.048
0,CA01005,2010,0.7746478873239436,0.7407407407407407,-0.034
0,CA01502,1980,0.723404255319149,0.5918367346938775,-0.132
0,CA01502,1990,0.7222222222222222,0.6785714285714286,-0.044
0,CA01502,2000,0.7090909090909091,0.7428571428571429,0.034
0,CA01502,2010,0.5833333333333334,0.7727272727272727,0.189
0,CA01941,1980,0.717391304347826,0.5771812080536913,-0.14
0,CA01941,1990,0.6695652173913044,0.44642857142857145,-0.223
0,CA01941,2000,0.6811594202898551,0.7333333333333333,0.052
0,CA01941,2010,0.8222222222222222,0.7857142857142857,-0.037
0,CA01942,1980,0.7191176470588235,0.6103023516237402,-0.109
0,CA01942,1990,0.7310664605873262,0.7014492753623188,-0.03
0,CA01942,2000,0.7021276595744681,0.6737967914438503,-0.028
0,CA01942,2010,0.7126436781609196,0.6554621848739496,-0.057
0,CA03001,1980,0.6666666666666666,0.62,-0.047
0,CA03001,1990,0.6551724137931034,0.6551724137931034,0.0
0,CA03001,2000,0.6190476190476191,0.75,0.131
0,CA03001,2010,0.7777777777777778,1.0,0.222
0,CA03313,1980,0.7142857142857143,0.5882352941176471,-0.126
0,CA03313,1990,0.7931034482758621,0.7045454545454546,-0.089
0,CA03313,2000,0.7714285714285715,0.9285714285714286,0.157
0,CA03313,2010,0.6428571428571429,0.7894736842105263,0.147
0,CA03404,1980,0.7403846153846154,0.7518796992481203,0.011
0,CA03404,1990,0.8152173913043478,0.7325581395348837,-0.083
0,CA03404,2000,0.8586956521739131,0.828125,-0.031
0,CA03404,2010,0.972972972972973,0.8333333333333334,-0.14
0,CA03610,1980,0.7469879518072289,0.76,0.013
0,CA03610,1990,0.5777777777777777,0.6666666666666666,0.089
0,CA03610,2000,0.7377049180327869,0.7916666666666666,0.054
0,CA03610,2010,0.7142857142857143,0.5882352941176471,-0.126
0,CA03711,1980,0.6759259259259259,0.6681818181818182,-0.008
0,CA03711,1990,0.59,0.6,0.01
0,CA03711,2000,0.5853658536585366,0.6666666666666666,0.081
0,CA03711,2010,0.7058823529411765,0.7538461538461538,0.048
0,CA03801,1980,0.6139240506329114,0.5705705705705706,-0.043
0,CA03801,1990,0.5572519083969466,0.5341614906832298,-0.023
0,CA03801,2000,0.5309734513274337,0.6,0.069
0,CA03801,2010,0.6101694915254238,0.7368421052631579,0.127
0,CA03905,1980,0.7789473684210526,0.7142857142857143,-0.065
0,CA03905,1990,0.6428571428571429,0.7894736842105263,0.147
0,CA03905,2000,0.7532467532467533,0.7916666666666666,0.038
0,CA03905,2010,0.7843137254901961,0.5625,-0.222
0,CA04313,1980,0.7238805970149254,0.696969696969697,-0.027
0,CA04313,1990,0.6704545454545454,0.7017543859649122,0.031
0,CA04313,2000,0.8904109589041096,0.967741935483871,0.077
0,CA04313,2010,0.8082191780821918,0.8846153846153846,0.076
0,CA05002,1980,1.0,0.7647058823529411,-0.235
0,CA05002,1990,0.9090909090909091,0.7692307692307693,-0.14
0,CA05002,2000,0.8666666666666667,0.918918918918919,0.052
0,CA05002,2010,0.8421052631578947,0.7368421052631579,-0.105
0,CO00101,1980,0.5555555555555556,0.7111111111111111,0.156
0,CO00101,1990,0.782608695652174,0.7575757575757576,-0.025
0,CO00101,2000,0.9090909090909091,0.7555555555555555,-0.154
0,CO00101,2010,0.7777777777777778,0.7647058823529411,-0.013
0,CO02101,1980,0.5882352941176471,0.6666666666666666,0.078
0,CO02101,1990,1.0,0.7659574468085106,-0.234
0,CO02101,2000,1.0,0.7971014492753623,-0.203
0,CO02101,2010,0.9285714285714286,0.9111111111111111,-0.017
0,CODPD00,1980,0.6737967914438503,0.5609756097560976,-0.113
0,CODPD00,1990,0.6941176470588235,0.6118721461187214,-0.082
0,CODPD00,2000,0.7446808510638298,0.7207792207792207,-0.024
0,CODPD00,2010,0.8275862068965517,0.8666666666666667,0.039
0,CT00064,1980,0.7530864197530864,0.6904761904761905,-0.063
0,CT00064,1990,0.6122448979591837,0.6551724137931034,0.043
0,CT00064,2000,0.5925925925925926,0.7894736842105263,0.197
0,CT00064,2010,0.8571428571428571,0.7,-0.157
0,GA02503,1980,0.7571428571428571,0.7692307692307693,0.012
0,GA02503,1990,0.6727272727272727,0.52,-0.153
0,GA02503,2000,0.696969696969697,0.625,-0.072
